Day,Item,Price,Outcome
1,Coke,$1.50,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Coke,$1.50,Money was accepted and no item was sold.
1,Coke,$1.50,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Water,$0.75,Item sold successfully
1,Chips,$1.00,Money was accepted and no item was sold.
1,Chips,$1.00,Money was accepted and no item was sold.
1,Water,$0.75,Item got stuck.
1,Candy,$1.00,Item sold successfully
1,Coke,$1.50,Item sold successfully
1,Water,$0.75,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Water,$0.75,Item sold successfully
1,Water,$0.75,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Coke,$1.50,Item sold successfully
1,Chips,$1.00,Item got stuck.
1,Water,$0.75,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Water,$0.75,Item sold successfully
1,Chips,$1.00,Money was accepted and no item was sold.
1,Water,$0.75,Item sold successfully
1,Coke,$1.50,Item sold successfully
1,Coke,$1.50,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Coke,$1.50,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Coke,$1.50,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Coke,$1.50,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Coke,$1.50,Item sold successfully
1,Water,$0.75,Item sold successfully
1,Coke,$1.50,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Coke,$1.50,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Chips,$1.00,Item sold successfully
1,Candy,$1.00,Item sold successfully
1,Coke,$1.50,Item sold successfully
2,Chips,$1.00,Item sold successfully
2,Chips,$1.00,Item sold successfully
2,Chips,$1.00,Item got stuck.
2,Coke,$1.50,Item sold successfully
2,Chips,$1.00,Item sold successfully
2,Chips,$1.00,Item sold successfully
2,Candy,$1.00,Money was accepted and no item was sold.
2,Water,$0.75,Item got stuck.
2,Water,$0.75,Item sold successfully
2,Candy,$1.00,Item sold successfully
2,Water,$0.75,Item sold successfully
2,Chips,$1.00,Item sold successfully
2,Chips,$1.00,Item sold successfully
